paper_key,title,year,venue,source,verdict,reason,type,override_verdict
doi:10.1109/access.2021.3064424,A Qualitative Study on Non-Functional Requirements in Agile Software Development,2021,IEEE Access,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
ss:00231a4b11a8d108ff2b35f9f2acb6eec0f9e15d,Value Based Requirements Engineering : State-of-art and Survey,2016,,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.33333/lajc.vol12n1.05,Data Domain Servitization for Microservices Architecture,2025,Latin American Journal of Computing,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,,EXCLUDE
ss:0184d4b2f3237fd7411cbc9e9e9fbe1e0583be01,Web development productivity improvement through object-oriented application framework,2014,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1016/j.jss.2018.09.001,Requirements traceability technologies and technology transfer decision support: A systematic review,2018,Journal of Systems and Software,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
ss:02520beba7b39d0a8427e722a51fb6e8050625f7,Requirements engineering for model transformation development,2018,,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1080/08874417.2010.11645464,Service Engineering: An Interdisciplinary Framework,2010,Journal of Computational Information Systems,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1088/1757-899x/119/1/012008,Influence of Surface Roughness in Electron Beam Welding,2015,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.37190/e-inf220101,Self-Adaptation Driven by SysML and Goal Models - A Literature Review,2022,e-Informatica Software Engineering Journal,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/cseet58097.2023.00023,The Field of Requirements Engineering Education,2023,Conference on Software Engineering Education and Training,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1016/j.ijsu.2009.05.007,Navigation systems and platforms in natural orifice translumenal endoscopic surgery (NOTES).,2009,International Journal of Surgery,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
