paper_key,title,year,venue,source,verdict,reason,type,override_verdict
doi:10.61467/2007.1558.2025.v16i4.1150,"A Systematic Literature Review on Technical Debt in Software Development: Types, Tools, and Concerns",2025,International Journal of Combinatorial Optimization Problems and Informatics,ss,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.33022/ijcs.v12i6.3612,Lean and Agile Software Development for Managing Technical Debt on A Large-scale Software: A Systematic Literature Review,2024,Indonesian Journal of Computer Science,ss,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1016/j.jss.2020.110827,"A systematic literature review on Technical Debt prioritization: Strategies, processes, factors, and tools",2021,Journal of Systems and Software,ss,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.48550/arxiv.2406.12026,Systematic literature review on forecasting and prediction of technical debt evolution,2024,arXiv.org,ss,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.24251/hicss.2025.758,Creating an Encouraging Context: A Systematic Literature Review of Contextual Factors to Manage Technical Debt,2025,Proceedings of the Annual Hawaii International Conference on System Sciences,ss,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.21608/jcsr.2025.417802.1019,Systematic Literature Review of Technical Debt Competencies and Costs in Software Engineering: A Business Perspective,2025,مجلة الدراسات والبحوث التجارية,ss,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/access.2026.3661069,Automated Detection of Self-Admitted Technical Debt: A Systematic Literature Review,2026,IEEE Access,ss,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1002/sys.21681,Technical debt in systems engineering—A systematic literature review,2023,Systems Engineering,ss,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1016/j.jss.2022.111483,Identification and measurement of Requirements Technical Debt in software development: A systematic literature review,2022,Journal of Systems and Software,ss,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1016/j.infsof.2016.10.004,Analyzing the concept of technical debt in the context of agile software development: A systematic literature review,2017,Information and Software Technology,ss,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1145/3387906.3388630,A Systematic Literature Review of Technical Debt Prioritization,2020,2020 IEEE/ACM International Conference on Technical Debt (TechDebt),ss,INCLUDE,SLR/SMS self-label + subfield fit,slr,
