slr_id,slr_year,missed_paper_key,missed_title,missed_year,missed_venue,missed_citation_count,missed_rank,venue_type,year_delta,age_bucket,open_access,language,in_acm,in_ieee,is_top10
doi:10.61467/2007.1558.2025.v16i4.1150,2025,ss:1eb131a34fbb508a9dd8b646950c65901d6f1a5b,Hidden Technical Debt in Machine Learning Systems,2015,Neural Information Processing Systems,1437,1,journal,10,6-10y,False,en,False,False,True
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.1162/tacl_a_00461,ByT5: Towards a Token-Free Future with Pre-trained Byte-to-Byte Models,2021,Transactions of the Association for Computational Linguistics,691,2,journal,4,3-5y,True,en,False,False,True
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.1016/j.jss.2014.12.027,A systematic mapping study on technical debt and its management,2015,Journal of Systems and Software,679,3,journal,10,6-10y,True,en,False,False,True
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.1109/ms.2012.167,Technical Debt: From Metaphor to Theory and Practice,2012,IEEE Software,674,4,journal,13,10y+,False,en,False,True,True
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.1145/3097983.3098021,TFX: A TensorFlow-Based Production-Scale Machine Learning Platform,2017,Knowledge Discovery and Data Mining,465,5,journal,8,6-10y,True,en,True,False,True
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.1016/j.jss.2012.12.052,An exploration of technical debt,2013,Journal of Systems and Software,439,6,journal,12,10y+,False,en,False,False,True
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.1145/1882362.1882373,Managing technical debt in software-reliant systems,2010,FoSER '10,425,7,journal,15,10y+,False,en,True,False,True
doi:10.61467/2007.1558.2025.v16i4.1150,2025,ss:51891710e30da33c4ced4ae7daee1593e0cb5cc4,Machine Learning: The High Interest Credit Card of Technical Debt,2014,,326,8,unknown,11,10y+,False,en,False,False,True
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.4230/dagrep.6.4.110,Managing Technical Debt in Software Engineering (Dagstuhl Seminar 16162),2016,Dagstuhl Reports,318,9,journal,9,6-10y,False,en,False,False,True
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.1016/j.infsof.2015.10.008,Identification and management of technical debt: A systematic mapping study,2016,Information and Software Technology,301,10,journal,9,6-10y,True,en,False,False,True
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.1109/icsme.2014.31,An Exploratory Study on Self-Admitted Technical Debt,2014,IEEE International Conference on Software Maintenance and Evolution,295,11,journal,11,10y+,False,en,False,True,False
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.1109/bigdata.2017.8258038,The ML test score: A rubric for ML production readiness and technical debt reduction,2017,2017 IEEE International Conference on Big Data (Big Data),268,12,journal,8,6-10y,False,en,False,True,False
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.1515/cclm-2018-0658,Digital transformation in healthcare – architectures of present and future information technologies,2018,Clinical Chemistry and Laboratory Medicine,263,13,journal,7,6-10y,True,en,False,False,False
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.1145/2786805.2786848,Measure it? Manage it? Ignore it? software practitioners and technical debt,2015,ESEC/SIGSOFT FSE,246,14,journal,10,6-10y,False,en,True,False,False
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.1109/tse.2017.2654244,Using Natural Language Processing to Automatically Detect Self-Admitted Technical Debt,2017,IEEE Transactions on Software Engineering,220,15,journal,8,6-10y,False,en,False,True,False
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.1145/2160718.2160733,Managing Technical Debt,2012,Queue,216,16,journal,13,10y+,True,en,True,False,False
doi:10.61467/2007.1558.2025.v16i4.1150,2025,doi:10.48550/arxiv.2304.10778,"Evaluating the Code Quality of AI-Assisted Code Generation Tools: An Empirical Study on GitHub Copilot, Amazon CodeWhisperer, and ChatGPT",2023,arXiv.org,215,17,preprint,2,0-2y,True,en,False,False,False
